categoria,titulo,descripcion,tiempo_preparacion,tiempo_cocina,tiempo_total,porciones,ingredientes,pasos,url
Spaghetti,Mongolian Ground Beef Noodles,"These Mongolian ground beef noodles have all the flavors you love in Mongolian beef, but in a simplified, more affordable version. Fragrant with ginger and garlic, in a balanced savory-sweet-salty soy and hoisin sauce, this dish can be on the table in a smidge over half an hour.",10 mins,25 mins,35 mins,4,"8 ounces spaghetti
1 pound ground beef
4 cloves garlic
1 teaspoon ginger
2 tablespoons light brown sugar
1/4 cup low-sodium soy sauce
3 tablespoons hoisin sauce
3/4 cup beef broth
1 teaspoon rice wine vinegar
1/4 teaspoon red chili flakes
1 tablespoon cornstarch
2 tablespoons water
1  green onion,
1 teaspoon toasted sesame seeds","Paso 1: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.. Drain and run under cold water to stop cooking. Set aside.
Paso 2: Meanwhile, crumble ground beef in a large skillet over medium-high heat. Cook for 4 minutes. Add garlic and cook 1 minute more. Drain any excess grease.
Paso 3: Return beef to skillet. Add ginger, brown sugar, soy sauce, hoisin, broth, vinegar, and pepper flakes.
Paso 4: Add cornstarch and cold water to a small jar with a lid. Cover and shake until combined and mixture is a thick slurry. Pour over beef mixture.
Paso 5: Cook over medium-high heat until thickened, about 3 minutes. Stir in reserved spaghetti and cook 2 minutes more. Turn heat off and let sit for 1 minute.
Paso 6: Sprinkle each serving with green onion and sesame seeds.",https://www.allrecipes.com/mongolian-ground-beef-noodles-recipe-8763564
Spaghetti,Creamy Gochujang Spaghetti With Ground Beef,"You'll love this creamy gochujang spaghetti with ground beef. The easy, spicy, creamy marinara gets a rich, spicy kick from red chili paste.",20 mins,25 mins,45 mins,4,"12 ounces spaghetti
1 pound ground beef
1  bell pepper,
1/2  onion
2  garlic cloves
1/4 cup tomato paste
1/4 cup gochujang red chile paste
1 1/4 cups heavy cream
salt and freshly ground black pepper, to taste
1/2 cup grated Parmesan cheese","Paso 1: Bring a large pot of salted water to a boil, and cook spaghetti, stirring occasionally, until tender with a bite, about 12 minutes. Scoop out 1/2 cup pasta water; set aside. Drain spaghetti.
Paso 2: Cook and stir ground beef, bell pepper, and onion together in a large skillet, until meat and vegetables are browned, 6 to 7 minutes. Add garlic and cook until fragrant, about 1 minute. Drain any excess grease and discard.
Paso 3: Add tomato paste and gochujang to meat, bring to a simmer, and cook, stirring constantly, about 3 to 4 minutes. Add heavy whipping cream, and cook and stir until fully incorporated. Season with salt and pepper.
Paso 4: Add cooked spaghetti to meat mixture; stir in Parmesan cheese. If sauce is too thick, add reserved pasta water, 2 tablespoons at a time, to thin to desired consistency.",https://www.allrecipes.com/creamy-gochujang-spaghetti-with-ground-beef-recipe-8750088
Spaghetti,Creamy Bacon Pasta Bake,"""Comforting and a nice weeknight meal.""",10 mins,1 hr,1 hr 10 mins,6 (serving size: about 1 1/2 cups),"8 ounces thick-cut bacon, chopped
1  yellow onion
1/4 cup tomato paste
1/2 teaspoon crushed red pepper
3 cups chicken broth
2 cups heavy whipping cream
1/2 cup white wine
1 tablespoon kosher salt
1 cup freshly grated Parmigiano-Reggiano cheese
1 pound spaghetti
1 tablespoon fresh flat-leaf parsley",,https://www.allrecipes.com/creamy-bacon-pasta-bake-recipe-8736946
Spaghetti,The Best Million Dollar Spaghetti,"The best million dollar spaghetti is surely this one—a cheesy, meaty, marinara-sauced layered spaghetti casserole fit for a hungry crowd.",20 mins,1 hr,1 hr 25 mins,10,"1 tablespoon olive oil
1 small onion
1 1/4 teaspoons kosher salt
2  cloves garlic
1 pound ground sirloin
1 pound Italian sausage
32 ounces marinara sauce
16 ounces spaghetti
5 tablespoons butter
1 cup cottage cheese
8 ounces cream cheese
1/4 cup sour cream
1/4 teaspoon salt
1/4 teaspoon pepper
3 cups shredded mozzarella cheese
1/3 cup grated Parmesan cheese
chopped parsley, for garnish","Paso 1: Heat oil in a large saucepan over medium-high heat. Add onion, 1 teaspoon salt, and garlic; cook until softened, about 3 minutes. Add ground beef and sausage and cook, crumbling with a spoon, until browned, about 5 minutes. Stir in 3 cups marinara sauce; bring to a simmer.  Reduce heat to low and simmer while pasta cooks.
Paso 2: Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large casserole dish.
Paso 3: Bring a large pot of salted water to a boil. Add pasta and cook until just tender with a bite, about 7 minutes. Drain; return spaghetti to the pot. Stir in 3 1/2 tablespoons butter and remaining marinara sauce.
Paso 4: Combine cottage cheese, cream cheese, sour cream, remaining salt, pepper, and 1 cup mozzarella in a medium bowl and stir until well incorporated.
Paso 5: Add half of pasta to the casserole dish. Spread cheese mixture evenly over pasta. Add remaining pasta; cut remaining 1 1/2 tablespoons butter into thin slices, and arrange over pasta. Top with meat sauce mixture, remaining 2 cups mozzarella, and grated Parmesan cheese. Place casserole dish on a rimmed baking sheet.
Paso 6: Bake in the preheated oven until cheese is melted and browned and pasta is bubbling around the edges, 40 to 50 minutes. Let stand 5 to 10 minutes before serving. Sprinkle with parsley if desired.",https://www.allrecipes.com/the-best-million-dollar-spaghetti-recipe-8747691
Spaghetti,Ham and Butternut Squash Spaghetti,"Despite the rich and decadent mascarpone, the sauce for this spaghetti is actually pretty light; much of the sauce is chicken broth and squash.",15 mins,35 mins,50 mins,4,"2 tablespoons olive oil
4 ounces smoked ham, thinly sliced
3 cloves garlic, thinly sliced
1 ½ cups chicken broth
3 cups peeled, seeded, and diced butternut squash
1 pinch crushed red pepper flakes, or to taste
salt, or to taste
1 teaspoon ground black pepper, or to taste
1 cup mascarpone cheese
1 tablespoon chopped Italian flat leaf parsley
14 ounces spaghetti
finely grated Parmigiano-Reggiano cheese","Paso 1: Heat olive oil over medium heat in a large skillet. Stir in ham and cook until the edges are slightly browned, about 3 minutes.
Paso 2: Stir in garlic; cook until fragrant and edges are barely golden, about 1 minute.
Paso 3: Pour chicken broth over ham and garlic; bring to a simmer. Stir in butternut squash, red pepper flakes, and salt. Cook until squash is tender, about 15 minutes. Stir in black pepper and reduce heat to low.
Paso 4: Gently stir mascarpone cheese into squash mixture until completely incorporated. Stir in Italian parsley. Remove from heat and cover.
Paso 5: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain and return to pot.
Paso 6: Pour butternut-mascarpone sauce over spaghetti, stirring until combined. Sprinkle Parmigiano-Reggiano cheese over spaghetti and serve.",https://www.allrecipes.com/recipe/221952/ham-and-butternut-squash-spaghetti/
Spaghetti,Creamy Lemon Shrimp Pasta,"This lovely lemon garlic shrimp dish with spaghetti pasta is deliciously creamy and comes together in just 30 minutes, making it perfect for busy weeknights!",10 mins,20 mins,30 mins,6,"¾ (16 ounce) package spaghetti
1 pound uncooked medium shrimp, peeled and deveined
salt and ground black pepper to taste
2 tablespoons finely chopped shallots
1 tablespoon crushed garlic
¼ cup chicken broth
1 medium lemon, zested and juiced
½ cup heavy cream
5 large basil leaves, chopped
1 pinch red pepper flakes",,https://www.allrecipes.com/creamy-lemon-shrimp-pasta-recipe-8642461
Spaghetti,Taco Pasta,"This is an easy taco pasta dish to make with ground beef, your favorite taco seasoning, tomatoes, pasta, and two types of cheese for a quick and delicious dinner that hits the spot every time!",10 mins,20 mins,30 mins,4,"6 ounces spaghetti or other pasta
1 pound ground beef
½ cup diced onion
1 (10.5 ounce) can condensed cream of mushroom soup
1 (10 ounce) can diced tomatoes and green chiles
⅔ cup water
1 ounce taco seasoning
1 (8 ounce) package processed cheese (such as Velveeta
1 cup shredded sharp Cheddar cheese",,https://www.allrecipes.com/taco-pasta-recipe-8644589
Spaghetti,Chicken Scampi Pasta,"This chicken scampi pasta is the perfect weekday meal—you can never go wrong with garlic, butter, and lemon. It’s hearty, full of flavor, and great the next day for leftovers. Serve with your favorite vegetable and crusty bread.",10 mins,30 mins,40 mins,6,"1 1/2 pounds chicken breast tenders
1 pound spaghetti pasta
3 tablespoons olive oil
3 tablespoons butter
1  shallot
4 cloves garlic
1/2 cup chicken broth
1/2  lemon, juiced
salt and freshly ground black pepper to taste
2 tablespoons chopped parsley","Paso 1: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.
Paso 2: Heat 2 tablespoons oil and 1 tablespoon butter in a cast iron skillet over medium heat. Add chicken tenders. Cook, turning occasionally, until chicken is no longer pink at the center and juices run clear, about 10 minutes. An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C). Remove from skillet.
Paso 3: Add 1 tablespoon olive oil and 2 tablespoons butter to the cast iron skillet. Add shallots; cook and stir for 1 to 2 minutes. Add fresh garlic; cook and stir until fragrant, about 1 minute.
Paso 4: Add broth; bring to a simmer. Cook until liquid is reduced by half, about 3 minutes.
Paso 5: Stir pasta and chicken into the skillet; combine well. Add 1 tablespoon olive oil if needed. Stir in parsley.",https://www.allrecipes.com/chicken-scampi-pasta-recipe-8636935
Spaghetti,Honey Mustard Spaghetti,"Sweet-salty, rich honey mustard spaghetti simmers pasta and chicken in a honey mustard cream. The dish is finished with crisp bacon and a sprinkling of green onion.",20 mins,25 mins,45 mins,4 to 6,"3 tablespoons Dijon mustard
2 tablespoons honey
12 ounces spaghetti
6 slices bacon
1 pound boneless chicken breast, cubed
1 bunch green onions
1 1/2 cups heavy cream
1 teaspoon kosher salt
1/2 teaspoon pepper","Paso 1: Stir together mustard and honey in a small bowl and set aside. Meanwhile, bring a large pot of salted water to a boil. Cook pasta until tender with a bite, about 9 minutes, or according to package instructions. Reserve 1/2 cup pasta water, drain, and set aside.
Paso 2: While pasta cooks, heat a large deep skillet over medium heat. Add bacon and cook until crisp, about 5 minutes. Remove bacon from skillet to a paper towel-lined plate and reserve drippings in the skillet.
Paso 3: Add chicken to the hot skillet; cook until browned on all sides (chicken will not be fully cooked through at this point). Remove chicken from skillet and keep warm. Add light green parts of the onions to skillet and cook until tender, 1 to 2 minutes. Stir in honey mustard and heavy cream.
Paso 4: Return chicken to skillet and add salt and pepper. Bring to a simmer and cook, stirring occasionally, until slightly thickened and chicken is no longer pink at the center. Add pasta and reserved pasta water to skillet and cook until heated through. Crumble reserved bacon over the top, and sprinkle with green onions to serve.",https://www.allrecipes.com/honey-mustard-spaghetti-recipe-8760484
Spaghetti,Cowboy Spaghetti,"Everyone will love this cowboy spaghetti, a fun twist with bacon, cheese, and pasta in a spicy beef and tomato sauce. The best part is that it’s a one-dish meal, cooked in a cast iron skillet.",15 mins,40 mins,55 mins,5,"6 strips bacon
1  onion
2 cloves garlic
1/2 teaspoon salt
1/4 teaspoon pepper
1 pound ground beef
1 1/2 cups beef broth
2 teaspoons Worcestershire sauce
2 teaspoons hot sauce
8 ounces spaghetti noodles
1 (10 ounce) can diced tomatoes with green chiles
1 (14.5 ounce) can fire roasted tomatoes
1 (4 ounce) can tomato sauce
1/2 cup sharp Cheddar cheese
3  green onions, sliced, or as needed for garnish","Paso 1: Place bacon in a large cast iron skillet and cook over medium-high heat, turning occasionally, until slightly crisp, about 7 minutes. Remove bacon slices to a paper towel-lined plate. When bacon is cool enough to handle, crumble roughly and set aside.
Paso 2: Add onion to the same skillet with bacon grease and sauté until softened, about 3 minutes. Add garlic, salt, and pepper. Stir until garlic is fragrant, about 30 seconds.
Paso 3: Add ground beef. Cook and stir until beef is crumbly and no longer pink, about 5 minutes. Lower heat to medium-low, and stir in beef broth, Worcestershire sauce, and hot sauce. Stir in 1/2 of the crumbled bacon.
Paso 4: Break spaghetti noodles in half. Scatter over ground beef, making sure noodles are separated. Pour tomatoes with green chiles, fire-roasted tomatoes, and tomato sauce over noodles. Cover and cook for 20 minutes.
Paso 5: Remove the lid and stir to combine the pasta and sauce. Smooth out mixture and scatter shredded cheese evenly over top. Sprinkle with remaining bacon. Cover and let cheese melt, about 5 minutes. Garnish with green onions; serve immediately.",https://www.allrecipes.com/cowboy-spaghetti-recipe-8634556
